,Name,Brand,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Price
37,Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,62000,Diesel,Manual,First,1199,5.0
38,Maruti Alto LXi,Maruti,90000,Petrol,Manual,Second,796,1.25
39,Tata Nano LX SE,Tata,19698,Petrol,Manual,First,624,1.53
40,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,22033,Diesel,Manual,First,1198,5.58
41,Hyundai i20 Magna Optional 1.2,Hyundai,35487,Petrol,Manual,First,1197,4.74
42,Hyundai Elantra 2.0 SX Option AT,Hyundai,46374,Petrol,Automatic,First,1999,8.85
43,Toyota Corolla Altis G AT,Toyota,52001,Petrol,Automatic,First,1798,10.11
44,Hyundai Elantra CRDi,Hyundai,58005,Diesel,Manual,Second,1991,4.25
45,Toyota Innova Crysta 2.7 GX MT,Toyota,70704,Petrol,Manual,First,2694,10.95
46,Hyundai Xcent 1.1 CRDi S,Hyundai,75000,Diesel,Manual,First,1120,3.85
47,Mahindra Thar CRDe AC,Mahindra,75800,Diesel,Manual,Second,2498,5.5
48,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,13648,Diesel,Automatic,First,1968,21.43
49,Maruti Swift LDI,Maruti,52000,Diesel,Manual,First,1248,4.25
50,Maruti Swift Ldi BSIV,Maruti,53000,Diesel,Manual,First,1248,3.3
51,Maruti Swift VDI,Maruti,65650,Diesel,Manual,First,1248,3.85
52,Hyundai Grand i10 Sportz,Hyundai,54000,Petrol,Manual,Third,1197,3.6
53,Volkswagen Vento 2013-2015 1.6 Comfortline,Volkswagen,39000,Petrol,Manual,First,1598,3.99
54,Renault KWID RXT,Renault,16542,Petrol,Manual,First,799,3.3
55,Hyundai i10 Asta,Hyundai,32000,Petrol,Manual,First,1197,2.07
56,Nissan X-Trail SLX AT,Nissan,121812,Diesel,Automatic,First,1995,7.75
57,Maruti Zen Estilo VXI BSIII,Maruti,39300,Petrol,Manual,First,998,2.25
58,Toyota Innova Crysta 2.4 GX MT 8S,Toyota,22000,Diesel,Manual,First,2393,16.5
59,Ford Figo Diesel Titanium,Ford,72000,Diesel,Manual,First,1399,2.75
60,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mercedes-Benz,58000,Petrol,Automatic,First,1796,26.7
61,Mercedes-Benz New C-Class 200 CDI Classic,Mercedes-Benz,65000,Diesel,Manual,Second,2148,10.0
62,Tata Indica V2 eLS,Tata,178000,Diesel,Manual,First,1396,2.5
63,Audi A4 2.0 TDI Multitronic,Audi,65664,Diesel,Automatic,First,1968,13.5
64,Honda City ZX CVT,Honda,63000,Petrol,Automatic,Second,1497,1.85
65,Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,15369,Diesel,Automatic,First,1950,35.67
66,Maruti Ertiga SHVS VDI,Maruti,63000,Diesel,Manual,First,1248,8.15
67,Hyundai Creta 1.4 E Plus Diesel,Hyundai,13000,Diesel,Manual,First,1396,10.5
68,Porsche Cayenne 2009-2014 Turbo,Porsche,73000,Petrol,Automatic,First,4806,14.5
69,Mahindra XUV500 W8 4WD,Mahindra,55729,Diesel,Manual,First,2179,9.65
70,Hyundai i10 Sportz 1.2 AT,Hyundai,45178,Petrol,Automatic,First,1197,3.48
71,Nissan Terrano XV D Pre,Nissan,56066,Diesel,Manual,First,1461,6.92
72,Honda Brio VX AT,Honda,37300,Petrol,Automatic,Second,1198,6.46
73,Audi A6 2.0 TDI Design Edition,Audi,56000,Diesel,Automatic,Second,1968,29.5
74,Toyota Innova 2.0 G1,Toyota,230000,Petrol,Manual,Third,1998,4.5
75,Toyota Innova 2.5 VX 7 STR BSIV,Toyota,104000,Diesel,Manual,First,2494,11.75
76,Maruti Swift VDI,Maruti,95100,Diesel,Manual,First,1248,3.75
77,Tata Zest Revotron 1.2T XE,Tata,70000,Petrol,Manual,First,1193,4.5
78,Honda Amaze SX i-VTEC,Honda,54944,Petrol,Manual,First,1198,4.82
79,Ford Figo Diesel ZXI,Ford,70337,Diesel,Manual,First,1399,2.8
80,Maruti Ritz VDi,Maruti,99638,Diesel,Manual,First,1248,3.11
81,Honda City i VTEC E,Honda,52000,Petrol,Manual,First,1497,3.25
82,BMW 5 Series 2003-2012 525d,BMW,75000,Diesel,Automatic,Second,1995,13.9
83,Hyundai i10 Sportz 1.2,Hyundai,95980,Petrol,Manual,First,1197,2.25
84,Hyundai Grand i10 Sportz,Hyundai,16000,Petrol,Manual,First,1197,5.75
85,Honda Amaze SX i-VTEC,Honda,18949,Petrol,Manual,First,1198,5.0
86,Toyota Fortuner 4x2 Manual,Toyota,107000,Diesel,Manual,First,2982,16.5
87,Audi A6 2011-2015 35 TDI Premium,Audi,48367,Diesel,Automatic,First,1968,39.58
88,Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,57000,Diesel,Manual,First,1498,5.5
89,Mahindra XUV500 W8 2WD,Mahindra,58000,Diesel,Manual,First,2179,8.1
90,Honda Amaze SX i-DTEC,Honda,30000,Diesel,Manual,First,1498,3.5
91,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,34212,Diesel,Manual,First,1199,2.79
92,Hyundai Verna Transform SX VGT CRDi,Hyundai,70002,Diesel,Manual,First,1493,3.45
93,Maruti Wagon R VXI BS IV,Maruti,62000,Petrol,Manual,First,998,4.45
94,Volkswagen Polo Petrol Highline 1.6L,Volkswagen,62001,Petrol,Manual,First,1598,2.65
95,Hyundai i20 1.4 CRDi Sportz,Hyundai,78958,Diesel,Manual,Second,1396,3.8
96,Hyundai i20 Asta 1.2,Hyundai,30180,Petrol,Manual,First,1197,4.65
97,Datsun GO Plus T Petrol,Datsun,32851,Petrol,Manual,First,1198,3.95
98,Audi A4 3.0 TDI Quattro Premium,Audi,30000,Diesel,Automatic,First,2967,9.8
99,Hyundai i20 2015-2017 Asta,Hyundai,66000,Petrol,Manual,Second,1197,2.7
100,Maruti Omni 5 Str STD,Maruti,93850,Petrol,Manual,First,796,2.41
101,Toyota Etios Liva 1.2 G,Toyota,53000,Petrol,Manual,First,1197,3.9
102,Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,78000,Diesel,Automatic,Second,2993,24.0
103,Mahindra XUV500 W8 2WD,Mahindra,65000,Diesel,Manual,Second,2179,5.75
104,Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,40000,Diesel,Automatic,First,1582,5.25
105,Toyota Innova Crysta 2.8 ZX AT,Toyota,30000,Diesel,Automatic,First,2755,19.25
106,Maruti Eeco 5 Seater AC,Maruti,38053,Petrol,Manual,First,1196,3.91
107,Tata Nano Twist XT,Tata,25500,Petrol,Manual,First,624,2.15
108,BMW 3 Series 320d Luxury Line,BMW,56087,Diesel,Automatic,First,1995,20.75
109,Honda Civic 2006-2010 1.8 V MT,Honda,71088,Petrol,Manual,First,1799,3.35
110,Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,55000,Diesel,Manual,First,2494,11.11
111,Volvo V40 Cross Country D3,Volvo,32700,Diesel,Automatic,First,1984,20.0
112,Nissan Micra XV CVT,Nissan,39882,Petrol,Automatic,First,1198,6.55
113,BMW 5 Series 2010-2013 525i,BMW,128000,Petrol,Automatic,First,2497,7.0
114,Maruti Vitara Brezza VDi,Maruti,55000,Diesel,Manual,First,1248,7.5
115,Mercedes-Benz B Class B200 CDI,Mercedes-Benz,53753,Diesel,Automatic,Second,2143,16.75
116,Hyundai Verna CRDi 1.6 SX Option,Hyundai,10250,Diesel,Manual,First,1582,10.95
117,Maruti Wagon R LXI BS IV,Maruti,43874,Petrol,Manual,First,998,2.45
118,Tata Nano XTA,Tata,32684,Petrol,Automatic,First,624,3.23
119,Mahindra Scorpio VLX,Mahindra,42000,Diesel,Manual,First,2179,7.75
120,Mercedes-Benz New C-Class 200 K AT,Mercedes-Benz,28352,Petrol,Automatic,First,1796,9.35
121,Honda CR-V 2.4 MT,Honda,47700,Petrol,Manual,Second,2354,5.25
122,Volkswagen Vento 1.5 TDI Comfortline AT,Volkswagen,55000,Diesel,Automatic,First,1498,7.25
123,Maruti Ciaz VXi Plus,Maruti,44285,Petrol,Manual,First,1373,7.47
124,Mahindra XUV500 AT W10 FWD,Mahindra,54000,Diesel,Automatic,First,2179,13.25
125,Maruti Ritz VXI ABS,Maruti,30232,Petrol,Manual,First,1197,5.81
126,Maruti Alto K10 VXI,Maruti,88500,Petrol,Manual,First,998,2.6
127,Hyundai Verna VTVT 1.6 AT SX Plus,Hyundai,12645,Petrol,Automatic,First,1591,11.5
128,Maruti Alto LXi BSIII,Maruti,94385,Petrol,Manual,Second,796,1.6
129,BMW 1 Series 118d Base,BMW,31821,Diesel,Automatic,First,1995,17.22
130,Honda Jazz 1.2 V CVT i VTEC,Honda,12000,Petrol,Automatic,First,1199,6.0
131,Honda Civic 2006-2010 1.8 V MT,Honda,88578,Petrol,Manual,First,1799,3.95
132,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedes-Benz,44965,Diesel,Automatic,First,2143,17.95
133,Honda Amaze SX i-DTEC,Honda,45044,Diesel,Manual,First,1498,3.7
134,Maruti Swift VVT VXI,Maruti,34204,Petrol,Manual,First,1197,5.43
135,Toyota Fortuner 3.0 Diesel,Toyota,91235,Diesel,Manual,First,2982,13.49
136,Chevrolet Beat LT Option,Chevrolet,38800,Petrol,Manual,First,1199,2.85
137,Skoda Rapid 1.5 TDI Elegance,Skoda,83000,Diesel,Manual,First,1498,4.75
138,Maruti Ciaz 1.4 Alpha,Maruti,41283,Petrol,Manual,First,1373,9.9
139,BMW 3 Series Luxury Line,BMW,48000,Diesel,Automatic,First,1995,26.5
140,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,48214,Diesel,Automatic,First,1968,23.32
141,Maruti Swift VDI,Maruti,35000,Diesel,Manual,First,1248,6.25
142,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Skoda,54620,Diesel,Automatic,First,1498,9.86
143,Skoda Superb Elegance 2.0 TDI CR AT,Skoda,136997,Diesel,Automatic,First,1968,8.5
144,Hyundai EON Magna Plus,Hyundai,14322,Petrol,Manual,First,814,4.23
145,Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,65634,Diesel,Manual,First,1199,3.5
146,Datsun GO NXT,Datsun,6000,Petrol,Manual,First,1198,2.5
147,Honda Brio S MT,Honda,33280,Petrol,Manual,First,1198,2.39
148,Mercedes-Benz B Class B180,Mercedes-Benz,29000,Petrol,Automatic,First,1595,11.25
149,Honda City i DTEC V,Honda,42831,Diesel,Manual,First,1498,7.11
150,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,90000,Diesel,Manual,First,2494,10.9
151,Maruti Swift VXI Optional,Maruti,24005,Petrol,Manual,First,1197,6.2
152,Mahindra XUV500 W8 2WD,Mahindra,32792,Diesel,Manual,First,2179,7.9
153,Ford Ecosport 1.5 DV5 MT Ambiente,Ford,147898,Diesel,Manual,First,1498,4.42
154,Toyota Fortuner 4x2 Manual,Toyota,131765,Diesel,Manual,First,2982,13.5
155,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Volkswagen,65000,Diesel,Automatic,First,1498,6.25
156,Ford Figo Diesel Titanium,Ford,66123,Diesel,Manual,Second,1399,2.1
157,BMW X5 xDrive 30d,BMW,41000,Diesel,Automatic,First,2993,45.0
158,Mercedes-Benz New C-Class C 220 CDI Style,Mercedes-Benz,23550,Diesel,Automatic,First,2143,33.66
159,Honda Brio V MT,Honda,45000,Petrol,Manual,Second,1198,3.65
160,Hyundai i10 Magna 1.2,Hyundai,60000,Petrol,Manual,First,1197,2.75
161,Mercedes-Benz GLC 220,Mercedes-Benz,44414,Diesel,Automatic,First,2143,42.5
162,Hyundai Grand i10 1.2 Kappa Asta,Hyundai,1000,Petrol,Manual,First,1197,6.5
163,Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,62500,Diesel,Automatic,Second,1968,19.0
164,Volkswagen Vento Petrol Highline AT,Volkswagen,21000,Petrol,Automatic,Second,1598,4.45
165,Mini Countryman Cooper D,Mini,8525,Diesel,Automatic,Second,1998,23.0
166,Hyundai i20 Asta 1.4 CRDi,Hyundai,29000,Diesel,Manual,First,1396,8.35
167,Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,40000,Diesel,Automatic,First,1968,22.95
168,Chevrolet Beat Diesel LT,Chevrolet,88000,Diesel,Manual,First,936,1.5
169,Skoda Superb Elegance 1.8 TSI AT,Skoda,53537,Petrol,Automatic,First,1798,6.89
170,Ford Fiesta 1.4 TDCi EXI Limited Edition,Ford,216000,Diesel,Manual,Second,1399,1.45
171,BMW 5 Series 520d Luxury Line,BMW,51000,Diesel,Automatic,First,1995,33.5
172,Chevrolet Optra Magnum 1.6 LS BS3,Chevrolet,118500,Petrol,Manual,First,1598,1.25
173,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,63000,Diesel,Manual,First,1199,4.2
174,Renault Lodgy 110PS RxZ 8 Seater,Renault,25000,Diesel,Manual,First,1461,6.75
175,Mercedes-Benz E-Class E250 CDI Avantgrade,Mercedes-Benz,37382,Diesel,Automatic,First,2143,32.0
176,Maruti Baleno Alpha,Maruti,24773,Petrol,Manual,First,1197,7.5
177,Hyundai Verna 1.6 SX,Hyundai,62000,Diesel,Manual,First,1582,4.6
178,Hyundai i10 Magna 1.1,Hyundai,52340,Petrol,Manual,First,1086,4.04
179,Mahindra Scorpio 1.99 S10 4WD,Mahindra,56739,Diesel,Manual,First,1997,10.31
180,Land Rover Range Rover 2.2L Dynamic,Land,36091,Diesel,Automatic,First,2179,55.76
181,Ford Figo Diesel ZXI,Ford,120000,Diesel,Manual,First,1399,2.6
182,Maruti Ertiga ZDI,Maruti,33000,Diesel,Manual,First,1248,8.5
183,Honda City 1.5 GXI,Honda,60006,Petrol,Manual,First,1496,2.95
184,Honda Amaze S i-Dtech,Honda,52000,Diesel,Manual,First,1498,3.5
185,Hyundai i10 Magna,Hyundai,43571,Petrol,Manual,First,1197,3.55
186,Honda Amaze S i-Dtech,Honda,50000,Diesel,Manual,First,1498,3.25
187,Skoda Laura Ambiente,Skoda,113000,Diesel,Manual,First,1896,4.5
188,Renault Duster 85PS Diesel RxL,Renault,90000,Diesel,Manual,First,1461,5.35
189,Mahindra NuvoSport N6,Mahindra,29000,Diesel,Manual,Second,1493,6.5
190,Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,20000,Diesel,Manual,First,1248,9.0
191,Hyundai i20 Asta Option 1.2,Hyundai,61012,Petrol,Manual,First,1197,6.0
192,Skoda Fabia 1.4 MPI Ambiente,Skoda,87459,Petrol,Manual,First,1390,2.75
193,Tata Indigo eCS GLX,Tata,70500,Petrol,Manual,First,1193,1.5
194,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Audi,64103,Diesel,Automatic,First,1968,19.9
195,Skoda Octavia Elegance 1.8 TSI AT,Skoda,76000,Petrol,Automatic,First,1798,10.0
196,Toyota Etios Liva GD SP,Toyota,104000,Diesel,Manual,First,1364,3.0
197,Maruti Swift 1.3 VXi,Maruti,42001,Petrol,Manual,First,1496,2.11
198,Mercedes-Benz B Class B180,Mercedes-Benz,37245,Petrol,Automatic,First,1595,11.96
199,Honda Amaze S Diesel,Honda,45000,Diesel,Manual,First,1498,3.25
200,Hyundai Verna 1.6 SX,Hyundai,117837,Diesel,Manual,Second,1582,4.75
201,Renault Duster 85PS Diesel RxL Optional,Renault,30000,Diesel,Manual,First,1461,5.95
202,Hyundai Creta 1.6 VTVT S,Hyundai,27057,Petrol,Manual,Second,1591,8.15
203,Maruti Wagon R AMT VXI,Maruti,8500,Petrol,Automatic,First,998,4.22
204,Mercedes-Benz New C-Class C250 Avantgarde,Mercedes-Benz,30500,Petrol,Automatic,First,1796,10.5
205,Audi A8 L 3.0 TDI quattro,Audi,56000,Diesel,Automatic,First,2967,45.0
206,Hyundai i10 Magna 1.1,Hyundai,44000,Petrol,Manual,Second,1086,2.9
207,Skoda Rapid 1.6 MPI AT Style Black Package,Skoda,10500,Petrol,Automatic,First,1598,8.9
208,Skoda Superb Style 1.8 TSI AT,Skoda,26000,Petrol,Automatic,First,1798,26.0
209,Hyundai i20 Active 1.2 SX,Hyundai,25166,Petrol,Manual,First,1197,8.22
210,Honda Amaze VX i-DTEC,Honda,64000,Diesel,Manual,Second,1498,3.5
211,Maruti Wagon R LXI,Maruti,61000,Petrol,Manual,Second,998,1.25
212,Mahindra Verito 1.5 D4 BSIV,Mahindra,107000,Diesel,Manual,First,1461,3.7
213,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mercedes-Benz,29161,Diesel,Automatic,First,2143,39.41
214,Maruti Wagon R VXI,Maruti,32000,Petrol,Manual,First,998,2.65
215,Nissan Terrano XV Premium 110 PS Anniversary Edition,Nissan,46173,Diesel,Manual,Second,1461,8.92
216,Mini Cooper Convertible S,Mini,26327,Petrol,Automatic,First,1998,35.67
217,Ford Figo Diesel,Ford,70436,Diesel,Manual,First,1498,3.6
218,Tata Indica V2 DLS BSII,Tata,200000,Diesel,Manual,Second,1396,0.85
219,Chevrolet Beat LT,Chevrolet,60813,Petrol,Manual,Second,1199,3.32
220,Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,45000,Diesel,Manual,First,1199,3.6
221,Maruti Swift ZDi,Maruti,64000,Diesel,Manual,First,1248,6.8
222,Ford Figo Diesel EXI,Ford,41284,Diesel,Manual,First,1399,2.5
223,Toyota Innova Crysta 2.8 GX AT,Toyota,14165,Diesel,Automatic,First,2755,19.64
224,Hyundai Santa Fe 4x4 AT,Hyundai,67000,Diesel,Automatic,Second,2199,7.0
225,Honda City i-VTEC V,Honda,32572,Petrol,Manual,First,1497,3.87
226,Hyundai i20 1.2 Magna Executive,Hyundai,14960,Petrol,Manual,First,1197,6.27
227,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mercedes-Benz,55980,Diesel,Automatic,First,2143,18.12
228,Chevrolet Beat Diesel LT,Chevrolet,74000,Diesel,Manual,First,936,2.65
229,Hyundai i20 Sportz 1.4 CRDi,Hyundai,56847,Diesel,Manual,First,1396,7.2
230,Toyota Innova 2.5 Z Diesel 7 Seater,Toyota,121374,Diesel,Manual,First,2494,14.3
231,Maruti Ertiga VDI,Maruti,52000,Diesel,Manual,First,1248,6.9
232,Toyota Innova 2.5 V Diesel 7-seater,Toyota,118000,Diesel,Manual,First,2494,10.75
233,Honda City i VTEC V,Honda,33915,Petrol,Manual,First,1497,8.09
234,BMW X1 sDrive20d,BMW,82002,Diesel,Automatic,First,1995,18.5
235,Hyundai Grand i10 CRDi Era,Hyundai,33000,Diesel,Manual,First,1120,4.75
236,Maruti Ciaz 1.3 Alpha,Maruti,34000,Diesel,Manual,First,1248,8.45
237,Skoda Rapid Leisure 1.6 TDI MT,Skoda,55000,Diesel,Manual,First,1598,3.5
238,Hyundai Accent CRDi,Hyundai,160538,Diesel,Manual,First,1493,1.8
239,Volkswagen Polo GT 1.5 TDI,Volkswagen,60000,Diesel,Manual,Second,1498,3.7
240,Honda Jazz 1.2 VX i VTEC,Honda,49575,Petrol,Manual,First,1199,7.17
241,Hyundai i10 Era,Hyundai,83000,Petrol,Manual,First,1086,1.75
242,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Hyundai,51346,Diesel,Automatic,First,1995,21.99
243,Toyota Innova Crysta 2.4 ZX MT,Toyota,43000,Diesel,Manual,First,2393,18.65
244,Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Maruti,35000,Petrol,Manual,Third,796,1.85
245,Maruti Swift VXI BSIV,Maruti,27872,Petrol,Manual,Second,1197,5.95
246,Hyundai Grand i10 Magna,Hyundai,16514,Petrol,Manual,First,1197,3.75
247,Maruti Swift VDI,Maruti,120000,Diesel,Manual,First,1248,3.75
248,Hyundai Verna CRDi 1.6 SX,Hyundai,143275,Diesel,Manual,First,1582,2.6
249,Hyundai i20 1.2 Sportz,Hyundai,52000,Petrol,Manual,First,1197,2.8
250,Mercedes-Benz GLE 350d,Mercedes-Benz,29819,Diesel,Automatic,First,2987,61.29
251,Mercedes-Benz New C-Class C 220 CDI CLASSIC,Mercedes-Benz,57000,Diesel,Manual,Second,2148,18.0
252,Maruti Ritz ZDi,Maruti,88500,Diesel,Manual,First,1248,4.35
253,Hyundai Creta 1.6 CRDi SX,Hyundai,28000,Diesel,Manual,First,1582,13.75
254,Maruti A-Star Vxi,Maruti,67000,Petrol,Manual,First,998,2.0
255,Renault Duster 110PS Diesel RXZ Option,Renault,26000,Diesel,Manual,First,1461,10.0
256,Fiat Grande Punto 1.3 Emotion Pack (Diesel),Fiat,120000,Diesel,Manual,First,1248,1.65
257,BMW X3 xDrive30d M Sport,BMW,51982,Diesel,Automatic,First,2993,45.77
258,Hyundai i10 Sportz,Hyundai,36000,Petrol,Manual,Second,1197,3.25
259,Toyota Innova 2.5 G4 Diesel 7-seater,Toyota,47000,Diesel,Manual,First,2494,12.8
260,Maruti Zen VXI BSII,Maruti,60000,Petrol,Manual,Third,993,0.55
261,Maruti Swift VDI,Maruti,31025,Diesel,Manual,First,1248,7.15
262,Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,Mahindra,105000,Diesel,Manual,Second,2179,7.0
263,Tata Zest Quadrajet 1.3 75PS XE,Tata,121900,Diesel,Manual,First,1248,3.75
264,Ford EcoSport 1.0 Ecoboost Titanium Plus,Ford,22695,Petrol,Manual,First,999,8.5
265,Maruti Swift Dzire ZDI,Maruti,73000,Diesel,Manual,First,1248,4.35
266,Maruti Alto 800 LXI,Maruti,32227,Petrol,Manual,First,796,3.26
267,Honda City 1.5 S MT,Honda,55000,Petrol,Manual,First,1497,4.21
268,Skoda Laura 1.9 TDI AT Ambiente,Skoda,48000,Diesel,Automatic,Second,1896,2.95
269,Hyundai Verna 1.6 SX VTVT (O),Hyundai,54308,Petrol,Manual,First,1591,4.28
270,Honda City 1.5 V AT,Honda,78442,Petrol,Automatic,First,1497,3.57
271,Hyundai i20 Magna Optional 1.4 CRDi,Hyundai,46000,Diesel,Manual,First,1396,3.11
272,Hyundai i20 Sportz AT 1.4,Hyundai,45051,Petrol,Automatic,First,1396,5.96
273,Volkswagen Vento Diesel Highline,Volkswagen,69000,Diesel,Manual,First,1598,4.7
274,Honda City i VTEC VX,Honda,49000,Petrol,Manual,First,1497,6.9
275,Tata Zest Quadrajet 1.3 75PS XE,Tata,45000,Diesel,Manual,First,1248,5.25
276,BMW 5 Series 2003-2012 520d,BMW,64000,Diesel,Automatic,First,1995,28.0
277,Maruti Wagon R LXI Minor,Maruti,60000,Petrol,Manual,First,1061,1.35
278,Honda Jazz VX,Honda,62178,Petrol,Manual,First,1199,4.85
279,Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,Volkswagen,58006,Diesel,Manual,First,1896,6.7
280,Hyundai i10 Magna 1.2,Hyundai,74000,Petrol,Manual,First,1197,3.1
281,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedes-Benz,77771,Diesel,Automatic,First,2143,18.64
282,Hyundai i10 Magna 1.2 iTech SE,Hyundai,45275,Petrol,Manual,First,1197,2.8
283,Toyota Innova Crysta 2.4 ZX MT,Toyota,48000,Diesel,Manual,First,2393,20.25
284,Audi A6 2011-2015 2.0 TDI Technology,Audi,31652,Diesel,Automatic,First,1968,26.78
285,Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,109000,Diesel,Manual,Second,2494,8.26
286,Volkswagen Polo Petrol Trendline 1.2L,Volkswagen,31978,Petrol,Manual,First,1198,3.89
287,Maruti Alto K10 LXI,Maruti,70000,Petrol,Manual,First,998,2.1
288,Honda City i-VTEC CVT ZX,Honda,15000,Petrol,Automatic,First,1497,12.69
289,Tata Indigo LX,Tata,59138,Diesel,Manual,First,1405,2.58
290,Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,61726,Diesel,Automatic,First,1968,20.77
291,Mercedes-Benz GLA Class 200 CDI SPORT,Mercedes-Benz,48000,Diesel,Automatic,First,2143,20.26
292,Maruti Celerio VXI AT,Maruti,77815,Petrol,Automatic,First,998,4.25
293,Mercedes-Benz GLE 250d,Mercedes-Benz,29000,Diesel,Automatic,First,2143,57.0
